组播,#genre#
和林格尔,http://123.179.62.61:4022/rtp/239.29.0.183:5000
克什克腾旗,http://123.179.62.61:4022/rtp/239.29.1.110:5000
内蒙古购物,http://123.179.62.61:4022/rtp/239.29.0.1:5000
IPTV3综艺,http://123.179.62.61:4022/rtp/239.29.1.18:5001
IPTV5体育,http://123.179.62.61:4022/rtp/239.29.1.10:5001
IPTV6华数电影,http://123.179.62.61:4022/rtp/239.29.1.20:5001
IPTV8电视剧,http://123.179.62.61:4022/rtp/239.29.1.21:5001
内蒙古频道八分屏,http://123.179.62.61:4022/rtp/239.29.1.118:5000
十分屏1,http://123.179.62.61:4022/rtp/239.29.1.119:5000
十分屏2,http://123.179.62.61:4022/rtp/239.29.1.117:5000
十分屏3,http://123.179.62.61:4022/rtp/239.29.1.116:5000
河南都市频道,http://1.192.244.238:8188/rtp/239.16.20.164:11640
河南民生频道,http://1.192.244.238:8188/rtp/239.16.20.165:11650
河南法治频道,http://1.192.244.238:8188/rtp/239.16.10.122:2000
河南电视剧频道,http://1.192.244.238:8188/rtp/239.16.20.167:11670
河南新闻频道,http://1.192.244.238:8188/rtp/239.16.20.168:11680
河南乡村频道,http://1.192.244.238:8188/rtp/239.16.20.195:11950
河南戏曲频道,http://1.192.244.238:8188/rtp/239.16.20.171:11710
河南收藏天下,http://1.192.244.238:8188/rtp/239.16.10.149:2000
河南中华功夫,http://1.192.244.238:8188/rtp/239.16.20.173:11730
河南移动电视,http://1.192.244.238:8188/rtp/239.16.20.204:12040
河南调解剧场,http://1.192.244.238:8188/rtp/239.16.20.197:11970
河南移动戏曲,http://1.192.244.238:8188/rtp/239.16.20.120:11200
河南睛彩中原,http://1.192.244.238:8188/rtp/239.16.20.122:11220
郑州1新闻综合,http://1.192.244.238:8188/rtp/239.16.10.154:2000
郑州2商都频道,http://1.192.244.238:8188/rtp/239.16.10.155:2000
郑州3文体旅游,http://1.192.244.238:8188/rtp/239.16.10.156:2000
郑州4豫剧频道,http://1.192.244.238:8188/rtp/239.16.10.157:2000
郑州5妇女儿童,http://1.192.244.238:8188/rtp/239.16.10.158:2000
郑州6都市生活,http://1.192.244.238:8188/rtp/239.16.10.159:2000
洛阳-1新闻综合,http://1.192.244.238:8188/rtp/239.16.20.179:11790
洛阳-2科教频道,http://1.192.244.238:8188/rtp/239.16.20.177:11770
洛阳-3文旅频道,http://1.192.244.238:8188/rtp/239.16.20.178:11780
南阳1新闻综合,http://1.192.244.238:8188/rtp/239.16.10.58:2000
南阳2公共频道,http://1.192.244.238:8188/rtp/239.16.10.165:2000
南阳3科教频道,http://1.192.244.238:8188/rtp/239.16.10.164:2000
周口公共频道,http://1.192.244.238:8188/rtp/239.16.10.172:2000
周口教育频道,http://1.192.244.238:8188/rtp/239.16.10.173:2000
周口新闻综合,http://1.192.244.238:8188/rtp/239.16.10.59:2000
开封1新闻综合,http://1.192.244.238:8188/rtp/239.16.10.57:2000
开封2文化旅游,http://1.192.244.238:8188/rtp/239.16.10.177:2000
新乡公共频道,http://1.192.244.238:8188/rtp/239.16.20.154:11540
新乡新闻综合,http://1.192.244.238:8188/rtp/239.16.20.139:11390
焦作公共频道,http://1.192.244.238:8188/rtp/239.16.20.155:11550
焦作综合频道,http://1.192.244.238:8188/rtp/239.16.20.140:11400
漯河新闻综合,http://1.192.244.238:8188/rtp/239.16.10.49:2000
信阳新闻综合,http://1.192.244.238:8188/rtp/239.16.10.52:2000
信阳文旅频道,http://1.192.244.238:8188/rtp/239.16.10.71:2000
